description,protein,carbohydrate,fat_total_lipid,vitamin_c,iron,calcium,lowcarb,vegan,keto,highprotein
"Beans, Dry, Black (0% moisture)",24.4,0.0,,,5.34,191.0,True,True,False,True
"Beans, Dry, Pinto (0% moisture)",23.7,0.0,,,5.4,161.0,True,True,False,True
"Beans, Dry, Great Northern (0% moisture)",24.7,0.0,,,5.48,192.0,True,True,False,True
"Broccoli, raw",2.57,6.27,,91.3,0.69,46.0,True,True,False,False
"Ketchup, restaurant",1.11,26.8,,,0.43,14.0,False,True,False,False
"Eggs, Grade A, Large, egg white",10.7,2.36,,,,,True,False,False,True
"Eggs, Grade A, Large, egg yolk",16.2,1.02,,,,,True,False,True,True
"Oil, canola",0.0,0.0,,,,,True,True,False,False
"Oil, corn",0.0,0.0,,,,,True,True,False,False
"Oil, soybean",0.0,0.0,,,,,True,True,False,False
"Oil, olive, extra virgin",0.0,0.0,,,,,True,True,False,False
"Eggs, Grade A, Large, egg whole",12.4,0.96,,,1.67,48.0,True,False,False,True
"Pork, cured, bacon, cooked, restaurant",40.9,2.1,,,1.28,13.0,True,False,False,True
"Butter, stick, unsalted",0.0,0.0,,,0.03,14.0,True,False,True,False
"Flour, wheat, all-purpose, enriched, bleached",10.9,77.3,,,5.62,19.0,False,True,False,True
"Flour, wheat, all-purpose, enriched, unbleached",13.1,73.2,,,5.41,21.0,False,True,False,True
"Flour, wheat, all-purpose, unenriched, unbleached",12.0,74.6,,,1.18,22.0,False,True,False,True
"Flour, whole wheat, unenriched",15.1,71.2,,,3.86,38.0,False,True,False,True
"Flour, bread, white, enriched, unbleached",14.3,72.8,,,5.55,19.0,False,True,False,True
"Flour, rice, white, unenriched",6.94,79.8,,,0.22,6.0,False,True,False,False
"Flour, corn, yellow, fine meal, enriched",6.2,80.8,,,4.44,0.0,False,True,False,False
"Butter, stick, salted",0.0,0.0,,,0.06,21.0,True,False,True,False
"Onions, red, raw",0.94,9.93,,8.1,0.24,17.0,True,True,False,False
"Onions, yellow, raw",0.83,8.61,,8.2,0.28,15.0,True,True,False,False
"Garlic, raw",6.62,28.2,,10.0,,,False,True,False,False
"Flour, soy, defatted",51.1,32.9,,,7.34,338.0,False,True,False,True
"Flour, soy, full-fat",38.6,27.9,,,9.51,258.0,False,True,False,True
"Flour, rice, brown",7.19,75.5,,,1.5,10.0,False,True,False,False
"Flour, rice, glutinous",6.69,80.1,,,0.34,10.0,False,True,False,False
"Flour, pastry, unenriched, unbleached",8.75,77.2,,,0.87,17.0,False,True,False,True
"Onions, white, raw",0.89,7.68,,,0.15,21.0,True,True,False,False
"Bananas, overripe, raw",0.73,20.1,,9.7,,,False,True,False,False
"Bananas, ripe and slightly ripe, raw",0.74,23.0,,12.3,0.0,5.0,False,True,False,False
"Apples, red delicious, with skin, raw",0.188,14.8,,,0.0,4.66,True,True,False,False
"Apples, fuji, with skin, raw",0.148,15.7,,,0.015,5.98,False,True,False,False
"Apples, gala, with skin, raw",0.133,14.8,,,0.06,6.64,True,True,False,False
"Apples, granny smith, with skin, raw",0.266,14.1,,,0.07,5.48,True,True,False,False
"Apples, honeycrisp, with skin, raw",0.102,14.7,,,0.0,3.87,True,False,False,False
"Oil, peanut",0.0,0.0,,,,,True,True,False,False
"Oil, sunflower",0.0,0.0,,,,,True,True,False,False
"Oil, safflower",0.0,0.0,,,,,True,True,False,False
"Oil, olive, extra light",0.0,0.0,,,,,True,True,False,False
"Mushroom, lion's mane",2.5,7.59,,,0.688,0.0,True,True,False,False
"Mushroom, oyster",2.9,6.94,,,0.698,0.0,True,True,False,False
"Mushrooms, shiitake",2.41,8.17,,,0.144,0.766,True,True,False,False
"Mushrooms, white button",2.89,4.08,,,0.227,5.46,True,True,False,False
"Soy milk, unsweetened, plain, shelf stable",3.55,1.29,,,0.542,101.0,True,False,False,False
"Almond milk, unsweetened, plain, shelf stable",0.555,0.337,,,0.29,173.0,True,False,True,False
"Spinach, baby",2.85,2.41,,26.5,1.26,68.4,True,True,False,False
"Spinach, mature",2.91,2.64,,30.3,1.05,66.6,True,True,False,False
"Tomato, roma",0.696,3.84,,17.8,0.103,9.96,True,True,False,False
"Flour, 00",11.4,74.4,,,0.986,18.7,False,True,False,True
"Flour, spelt, whole grain",14.5,70.7,,,3.77,30.0,False,True,False,True
"Flour, semolina, coarse and semi-coarse",11.7,73.8,,,1.55,17.2,False,True,False,True
"Flour, semolina, fine",13.3,72.0,,,2.43,19.8,False,True,False,True
"Apple juice, with added vitamin C, from concentrate, shelf stable",0.086,11.4,,51.2,0.04,7.1,True,True,False,False
"Orange juice, no pulp, not fortified, from concentrate, refrigerated",0.734,10.3,,26.9,0.065,12.8,True,True,False,False
"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",0.258,15.6,,45.6,0.041,9.74,False,True,False,False
"Grape juice, white, with added vitamin C, from concentrate, shelf stable",0.094,15.8,,55.2,0.119,7.32,False,True,False,False
"Cranberry juice, not fortified, from concentrate, shelf stable",0.0,7.26,,0.0,0.126,6.64,True,True,True,False
"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",0.57,9.1,,24.1,0.015,8.88,True,True,False,False
"Tomato juice, with added ingredients, from concentrate, shelf stable",0.859,4.32,,49.8,0.299,9.74,True,True,False,False
"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",0.812,10.0,,30.5,0.071,9.29,True,True,False,False
"Mushroom, portabella",2.75,4.66,,,0.139,3.24,True,True,False,False
"Mushroom, king oyster",2.41,8.5,,,0.338,0.0,True,True,False,False
"Mushroom, enoki",2.42,8.14,,,1.28,1.43,True,True,False,False
"Mushroom, crimini",3.09,4.01,,,0.312,4.1,True,True,False,False
"Mushroom, maitake",2.2,6.6,,,0.209,0.0,True,True,False,False
"Mushroom, beech",2.18,6.76,,,0.739,0.432,True,True,False,False
"Mushroom, pioppini",3.5,5.76,,,0.486,0.0,True,True,False,False
"Soy milk, sweetened, plain, refrigerated",2.78,3.0,,,0.367,155.0,True,False,False,False
"Almond milk, unsweetened, plain, refrigerated",0.656,0.671,,,0.125,158.0,True,False,True,False
"Oat milk, unsweetened, plain, refrigerated",0.797,5.1,,,0.261,148.0,True,False,True,False
"Carrots, mature, raw",0.941,10.3,,,0.15,30.5,True,True,False,False
"Carrots, baby, raw",0.805,9.08,,,0.088,42.2,True,True,False,False
"Peppers, bell, green, raw",0.715,4.78,,99.5,0.186,7.5,True,True,False,False
"Peppers, bell, yellow, raw",0.819,6.6,,139.0,0.36,6.69,True,True,False,False
"Peppers, bell, red, raw",0.896,6.65,,142.0,0.353,6.36,True,True,False,False
"Peppers, bell, orange, raw",0.882,6.7,,158.0,0.365,4.9,True,True,False,False
"Buttermilk, low fat",3.46,4.81,,,0.013,120.0,True,False,False,False
"Yogurt, plain, whole milk",3.82,5.57,,,0.0,127.0,True,False,True,False
"Yogurt, Greek, plain, whole milk",8.78,4.75,,,0.0,111.0,True,False,False,True
"Cheese, parmesan, grated, refrigerated",30.1,4.33,,,0.14,950.0,True,False,False,True
"Cheese, feta, whole milk, crumbled",19.7,5.58,,,0.068,371.0,True,False,False,True
"Flour, almond",26.2,16.2,,,3.22,232.0,False,True,False,True
"Flour, oat, whole grain",13.2,69.9,,,4.0,42.8,False,True,False,True
"Flour, potato",8.11,79.9,,,12.0,44.1,False,True,False,True
"Peanut butter, creamy",24.0,22.7,,,1.85,49.8,False,False,False,True
"Sesame butter, creamy",19.7,14.2,,,7.0,116.0,True,False,False,True
"Almond butter, creamy",20.8,21.2,,,4.11,264.0,False,False,False,True
"Flaxseed, ground",18.0,34.4,,,5.78,230.0,False,True,False,True
"Cottage cheese, full fat, large or small curd",11.6,4.6,,,0.0,88.3,True,False,False,True
"Cream cheese, full fat, block",5.79,4.56,,,0.0,97.1,True,False,True,False
"Cream, heavy",2.02,3.8,,,0.0,61.2,True,False,True,False
"Cream, sour, full fat",3.07,5.56,,,0.0,107.0,True,False,True,False
"Lettuce, iceberg, raw",0.742,3.37,,,0.033,14.2,True,True,False,False
"Lettuce, romaine, green, raw",0.977,4.06,,,0.267,27.6,True,True,False,False
"Lettuce, leaf, red, raw",0.883,3.26,,9.34,0.402,42.6,True,True,False,False
"Lettuce, leaf, green, raw",1.09,4.07,,15.2,0.32,39.8,True,True,False,False
"Nuts, pine nuts, raw",15.7,18.6,,,5.36,8.74,False,True,False,True
"Nuts, almonds, whole, raw",21.5,20.0,,,3.74,254.0,False,True,False,True
"Nuts, walnuts, English, halves, raw",14.6,10.9,,,2.24,88.3,True,True,False,True
"Nuts, pecans, halves, raw",9.96,12.7,,,2.37,54.8,True,True,False,True
"Oats, whole grain, rolled, old fashioned",13.5,68.7,,,4.34,45.5,False,True,False,True
"Oats, whole grain, steel cut",12.5,69.8,,,3.8,51.3,False,True,False,True
"Pineapple, raw",0.461,14.1,,58.6,0.054,12.5,True,True,False,False
"Cherries, sweet, dark red, raw",1.04,16.2,,10.4,0.105,12.3,False,True,False,False
"Beans, snap, green, raw",1.97,7.41,,,0.652,40.0,True,True,False,False
"Potatoes, russet, without skin, raw",2.27,17.8,,10.9,0.384,7.8,False,True,False,False
"Potatoes, red, without skin, raw",2.06,16.3,,21.3,0.391,5.13,False,True,False,False
"Potatoes, gold, without skin, raw",1.81,16.0,,23.3,0.373,5.94,False,True,False,False
"Sweet potatoes, orange flesh, without skin, raw",1.58,17.3,,14.8,0.398,22.3,False,True,False,False
"Celery, raw",0.492,3.32,,,0.0,46.3,True,True,False,False
"Cucumber, with peel, raw",0.625,2.95,,,0.0,16.3,True,True,False,False
"Cabbage, green, raw",0.961,6.38,,40.3,0.066,41.8,True,True,False,False
"Cabbage, red, raw",1.24,6.79,,53.9,0.0,31.0,True,True,False,False
"Strawberries, raw",0.641,7.96,,59.6,0.255,16.9,True,True,False,False
"Raspberries, raw",1.01,12.9,,23.0,0.45,16.4,True,True,False,False
"Blueberries, raw",0.703,14.6,,8.06,0.34,11.7,True,True,False,False
"Grapes, red, seedless, raw",0.914,20.2,,3.31,0.162,10.2,False,True,False,False
"Grapes, green, seedless, raw",0.899,18.6,,3.02,0.199,9.9,False,True,False,False
"Applesauce, unsweetened, with added vitamin C",0.273,12.3,,43.7,0.045,3.82,True,True,False,False
"Flour, amaranth",13.2,68.8,,,7.56,135.0,False,True,False,True
"Flour, quinoa",11.9,69.5,,,4.53,37.6,False,True,False,True
"Flour, sorghum",8.27,77.4,,,3.72,11.4,False,True,False,True
"Flour, buckwheat",8.88,75.0,,,3.84,30.6,False,True,False,True
"Flour, rye",8.4,77.2,,,2.54,32.2,False,True,False,True
"Flour, barley",8.72,77.4,,,3.3,35.6,False,True,False,True
"Flour, cassava",0.918,87.3,,,3.99,74.6,False,True,False,False
"Buckwheat, whole grain",11.1,71.1,,,2.44,13.6,False,True,False,True
"Millet, whole grain",10.0,74.4,,,2.53,9.1,False,True,False,True
"Rice, brown, long grain, unenriched, raw",7.25,76.7,,,1.24,8.06,False,True,False,False
"Rice, white, long grain, unenriched, raw",7.04,80.3,,,0.14,4.46,False,True,False,False
"Beef, ground, 90% lean meat / 10% fat, raw",18.2,0.0,,,2.13,7.14,True,False,False,True
"Beef, ground, 80% lean meat / 20% fat, raw",17.5,0.0,,,1.96,6.89,True,False,True,True
"Pork, ground, raw",17.8,0.0,,,0.788,5.86,True,False,False,True
